; Hulk, Leia Organa
Investigator; Amy Ferrier
Japanese; Akihide Karatsu, Rumy
Jedi Knight; Ahsoka Tano, Anakin Skywalker, Cal Kestis, Luke Skywalker, Mace Windu, Obi-Wan Kenobi, Qui-Gon Jinn, Rey, Yoda
Jedi Master; Mace Windu, Obi-Wan Kenobi, Qui-Gon Jinn, Yoda
Jedi Order; Mace Windu, Qui-Gon Jinn, Yoda
Jock; Alex
Justice League; Aquaman, Barry Allen, Bart Allen, Batman, Black Canary, Black Lightning, Booster Gold, Green Arrow, Supergirl, Superman, Ted Kord, Wally West
Justice League Dark; Amethyst
Justice League International; Booster Gold, Ted Kord
Justice Society of America; Alan Scott, Jay Garrick, Kal-L
Kanto; Blue, Brock, Red (Pokemon)
Kidnapper; Bowser
Kinetic Blasts; Breach
King; Aquaman, Aragorn, Black Panther, Bowser, Dimitri
Knights of Seiros; Alois, Catherine, Shamir
Knights of Seiros (Fire Emblem); Byleth, Flayn, Rhea, Seteth
Knives; Mai
Koopa; Bowser Jr., Bowser
Kryptonian; Kal-L, Superboy Prime, Supergirl, Superman
LGBTQ+; Abigail, Adora, Alan Scott, Albus Dumbledore, Alex Fierro, Alex, America Chavez, Anole, Asami Sato, Blake Belladonna, Korra, Magnus Chase, Northstar, Viv Vision, Yang Xiao Long
Lab Experiment; Adam Warlock
Lances; Dimitri
Large Bird; Big Bird
Last of Kind; Aerith Gainsborough
Lawyer; Atticus Finch
Lazy; Hilda
Leader; Barret Wallace, Captain America, Rikk, Rumy
League of Legends; Aphelios
Legacy; Barry Allen|Jay Garrick, Bart Allen|Wally West, Bucky Barnes|Captain America, Cassie Lang|Scott Lang, Falcon|Captain America, Hope van Dyne|Janet van Dyne, Ironheart|Iron Man, Jim Gordon|Batman, Nadia van Dyne|Janet van Dyne, Scott Lang|Hank Pym, Wally West|Barry Allen, War Machine|Iron Man
Legion of Superheroes; Brainiac 5
Lightning; Thor
Lightning Manipulation; Black Lightning
Literary Agent; Barry Wheeler
Looks-Like-Child-But-Is-Actually-Old; Flayn, Sothis
Loud; Alois, Catherine
Love Interest; Barry Allen|Iris West
Machine Gun; Bastion
Machine Hunter; Aloy
Mage; Annette
Magic; Amethyst, Captain Marvel Jr., Captain Marvel, Mary Marvel
Magic Gunslinger; Bayonetta
Magic User; Aerith Gainsborough, Amos Kane, Annette, Arya, Calypso, Carter Kane, Elsa, Fleur Delacour, Ginny Weasley, Harry Potter, Hearthstone, Hermione Granger, Hubert, Kalathos Sunstrider, Ron Weasley, Sadie Kane, Scarlet Witch, Walt Stone, Zia Rashid
Magic Users; Abby Cadabby, Albus Dumbledore, Bill Weasley
Magic Word; Captain Marvel Jr., Captain Marvel, Mary Marvel
Magical; Olaf
Magnet Powers; Magneto
Manipulator; Amanda Waller, Anna Croft, Baron Zemo
Married; Ally|Rikk, Ally|Rumy, Bill Weasley|Fleur Delacour, Black Panther|Storm, Fleur Delacour|Bill Weasley, Hank Pym|Janet van Dyne, Janet van Dyne|Hank Pym, Rikk|Ally, Rikk|Rumy, Rumy|Ally, Rumy|Rikk
Martial Artist; Akuma, Carmen Cortez, Chun-Li, Juni Cortez, Ken, Rumy, Ryu
Marvel; Thanos
